Source,Target,Source_Name
QDe.144,QDe.137,ABDALLAH AZZAM BRIGADES (AAB)
QDe.001,QDe.092,ABU SAYYAF GROUP
QDe.001,QDi.208,ABU SAYYAF GROUP
CDe.001,CDi.015,ADF
CDe.001,CDi.036,ADF
CDe.001,CDi.015,ADF
QDe.069,QDe.070,AFGHAN SUPPORT COMMITTEE (ASC)
QDe.069,QDi.058,AFGHAN SUPPORT COMMITTEE (ASC)
QDe.139,QDe.014,AL MOUAKAOUNE BIDDAM
QDe.139,QDi.136,AL MOUAKAOUNE BIDDAM
QDe.140,QDe.014,AL MOULATHAMOUN
QDe.140,QDe.134,AL MOULATHAMOUN
QDe.140,QDe.141,AL MOULATHAMOUN
QDe.140,QDe.014,AL MOULATHAMOUN
QDe.140,QDi.136,AL MOULATHAMOUN
QDe.141,QDe.140,AL MOURABITOUN
QDe.141,QDe.134,AL MOURABITOUN
QDe.141,QDe.014,AL MOURABITOUN
QDe.141,QDi.136,AL MOURABITOUN
QDe.005,QDe.073,AL RASHID TRUST
QDe.005,QDe.073,AL RASHID TRUST
QDe.005,QDe.019,AL RASHID TRUST
QDe.121,QDe.019,AL-AKHTAR TRUST INTERNATIONAL
QDe.121,QDe.008,AL-AKHTAR TRUST INTERNATIONAL
QDe.121,QDe.096,AL-AKHTAR TRUST INTERNATIONAL
QDe.121,QDe.118,AL-AKHTAR TRUST INTERNATIONAL
QDe.002,QDe.004,AL-ITIHAAD AL-ISLAMIYA / AIAI
QDe.002,QDi.006,AL-ITIHAAD AL-ISLAMIYA / AIAI
QDe.002,QDi.042,AL-ITIHAAD AL-ISLAMIYA / AIAI
QDe.002,QDe.072,AL-ITIHAAD AL-ISLAMIYA / AIAI
QDe.157,QDi.412,AL-KAWTHAR MONEY EXCHANGE
QDe.157,QDe.115,AL-KAWTHAR MONEY EXCHANGE
QDe.137,QDe.004,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.137,QDe.115,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.137,QDe.007,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.137,QDe.115,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.137,QDi.299,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.137,QDi.317,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.137,QDe.115,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT
QDe.129,QDe.004,AL-QAIDA IN THE ARABIAN PENINSULA (AQAP)
QDe.129,QDi.282,AL-QAIDA IN THE ARABIAN PENINSULA (AQAP)
QDe.146,QDe.014,ANSAR AL CHARIA BENGHAZI
QDe.146,QDe.141,ANSAR AL CHARIA BENGHAZI
QDe.146,QDe.143,ANSAR AL CHARIA BENGHAZI
QDe.146,QDe.145,ANSAR AL CHARIA BENGHAZI
QDe.145,QDe.014,ANSAR AL CHARIA DERNA
QDe.145,QDe.143,ANSAR AL CHARIA DERNA
QDe.145,QDe.146,ANSAR AL CHARIA DERNA
QDe.098,QDi.226,ANSAR AL-ISLAM
QDe.098,QDe.115,ANSAR AL-ISLAM
QDe.143,QDe.014,ANSAR AL-SHARI’A IN TUNISIA (AAS-T)
