Source,Target,Name
QDi.430,QDe.115,EMRAAN ALI 
QDi.400,QDe.137,IYAD NAZMI SALIH
QDi.343,QDe.004,ASHRAF MUHAMMAD YUSUF
QDi.343,QDe.137,ASHRAF MUHAMMAD YUSUF
QDi.343,QDe.115,ASHRAF MUHAMMAD YUSUF
TAi.155,TAe.012,ABDUL AZIZ ABBASIN 
TAi.155,TAi.144,ABDUL AZIZ ABBASIN 
QDi.012,QDe.098,NASHWAN ABD AL-RAZZAQ ABD AL-BAQI
QDi.192,QDe.003,ABD ALLAH MOHAMED RAGAB
TAi.162,TAe.010,ABDUL SATAR ABDUL MANAN 
TAi.162,TAi.163,ABDUL SATAR ABDUL MANAN 
TAi.105,TAi.144,AHMAD TAHA KHALID ABDUL QADIR
QDi.295,QDe.092,MUHAMMAD JIBRIL ABDUL RAHMAN
QDi.295,QDi.086,MUHAMMAD JIBRIL ABDUL RAHMAN
QDi.229,QDe.011,ALY SOLIMAN MASSOUD
TAi.145,TAi.024,AMIR ABDULLAH 
QDi.309,QDe.004,ABDUR REHMAN  
QDi.309,QDe.130,ABDUR REHMAN  
QDi.309,QDe.019,ABDUR REHMAN  
QDi.309,QDe.121,ABDUR REHMAN  
QDi.363,QDe.115,MAGHOMED MAGHOMEDZAKIROVICH ABDURAKHMANOV
QDi.414,QDe.115,ABDULPATTA ESCALON ABUBAKAR
TAi.167,TAi.160,ADAM KHAN ACHEKZAI 
QDi.304,QDe.133,MOCHAMMAD ACHWAN 
QDi.304,QDi.217,MOCHAMMAD ACHWAN 
QDi.304,QDi.293,MOCHAMMAD ACHWAN 
QDi.304,QDe.092,MOCHAMMAD ACHWAN 
MLi.004,QDe.135,AHMED AG ALBACHAR 
MLi.005,QDi.316,HOUKA HOUKA AG ALHOUSSEINI
QDi.316,QDe.135,IYAD AG GHALI 
QDi.316,QDe.014,IYAD AG GHALI 
QDi.316,QDe.134,IYAD AG GHALI 
QDi.424,QDe.135,BAH AG MOUSSA 
QDi.424,QDe.159,BAH AG MOUSSA 
TAi.091,TAi.004,JANAN AGHA 
QDi.193,QDe.003,ZAKI EZAT ZAKI
TAi.159,TAe.012,AHMED JAN WAZIR AKHTAR MOHAMMAD
TAi.159,TAi.144,AHMED JAN WAZIR AKHTAR MOHAMMAD
